	id	size	size	sex	height	weight	x2d	y2d	x3d	y3d	z3d
8580	5	6	0.172414	F	185	82.0	0.157441	0.558171	89.53588277234233	-76.5047579186668	74.39684598860934
9562	6	8	0.241379	M	188	75.0	0.754925	0.280315	-50.33997676711862	51.37675026356307	52.91720226513944
9563	7	8	0.241379	M	183	72.0	0.760221	0.282353	-50.37779215916182	52.32685216072619	52.098509040668034
13135	9	1	0.0	M	186	96.0	0.756193	0.804332	11.370248704056284	64.54622523631046	-36.65434288200103
6904	11	1	0.0	M	182	76.5	0.717952	0.315407	-47.13276416497924	41.29155709669532	36.682572627838226
10877	14	1	0.0	F	171	65.0	0.538174	0.155871	-73.6038818562883	-17.2770603582161	41.446262721427054
17402	16	1	0.0	M	184	85.0	0.804332	0.843406	10.542210686619882	76.98834425997157	-45.423766785908384
9564	20	20	0.655172	M	176	85.0	0.143986	0.380588	-92.2278706561317	-79.80918576286254	-31.846057685104263
3265	24	3	0.068966	M			0.320273	0.604452	86.33220522668195	-36.82825694738181	56.91652367443148
7634	26	1	0.0	F	169	65.0	0.501188	0.816248	13.274428824975473	-9.989079263233275	-53.66861483065719
11741	35	1	0.0	M	190	98.0	0.607908	0.152411	-62.90619113642604	8.486070773302156	48.327938633108154
2095	40	6	0.172414	M			0.336577	0.599523	85.7467903460987	-31.138607558203603	59.19215717566795
11742	44	5	0.137931	M	182	73.0	0.804027	0.284434	-45.51824067098891	55.36957386365482	52.63862768091575
15975	121	1	0.0	M	168	55.0	0.083528	0.363849	-91.97979139082236	-90.08692590341336	-22.477908378579663
17403	126	2	0.034483	F	164	58.0	0.234037	0.131138	-94.00944831758238	-72.44721148613252	-10.241779468257347
3746	137	2	0.034483	M	175	64.0	0.71675	0.572033	-53.72415547120587	-14.988038466119896	12.336233481474085
15976	145	3	0.068966	M	175	70.0	0.919158	0.661035	-14.802975469505919	75.0409857684733	0.27555625753261587
5397	363	4	0.103448	M	178	67.0	0.593982	0.266915	-48.69095789636397	30.293360018074452	23.238366516145245
8581	367	5	0.137931	M	175	64.0	0.465332	0.846866	9.788132598382777	-2.833451721788122	-31.418127711887003
0	391	1	0.0	M	185	102.0	0.507172	0.533197	24.770937341131194	-6.99962572771379	-47.18606394309748
2096	392	1	0.0	M			0.610164	0.6177	14.547184105894537	-2.378883057168589	20.560576930501792
6084	393	2	0.034483	M	183	80.0	0.489793	0.78722	18.934575275758938	11.455542857037766	-13.168445531126695
6905	407	3	0.068966	M			0.397551	0.241364	-45.56370945136727	-27.95926954039588	-4.366528121600591
9565	415	1	0.0	M	181	76.0	0.786252	0.707849	-77.97389851306215	-37.28020555783062	11.981911535958382
8582	422	5	0.137931	F	165	75.0	0.506218	0.867191	10.039470398999168	9.992356827269322	-50.6833331004449
2097	426	1	0.0	F			0.413949	0.377046	12.346223358832574	-3.8826609133295893	-55.21417271501731
11743	448	1	0.0	F	150	43.0	0.854341	0.64808	-95.48631663137895	-32.981014378549105	-24.999763841924786
13136	452	3	0.068966	M	169	68.0	0.85758	0.731214	-10.593912726429558	75.56677594419234	-17.151963303588914
11744	462	1	0.0	F	169	60.0	0.248595	0.222364	-5.457507339370693	79.28832841242817	-15.810961285218433
17404	463	3	0.068966	F	166	60.0	0.241687	0.139356	-94.57742158693958	-77.35231916778811	9.952037282857459
8583	466	3	0.068966	F			0.821688	0.468138	-57.8487724525404	10.26172943730104	17.596005524106562
9566	499	2	0.034483	M			0.179312	0.369278	-66.33040756567758	-10.58661933318325	-4.620342234053833
